Theme,Question,Reponse
Conseils,Dois-je donner d'autres aliments ou boissons à mon enfant ?,"Rassurez les parents qu’il n’y a aucun besoin de donner d’autres aliments ou boissons, même pas de l’eau. Le lait maternel contient tout ce qu’il faut pour l’enfant."
Conseils,Que faire si j’ai besoin d’aide pour l’allaitement ?,"Aidez la mère chaque fois qu’elle en a besoin, surtout si c’est son premier enfant, s’il s’agit d’une adolescente ou d’une mère ayant d’autres besoins particuliers."
Conseils,Comment dois-je gérer le changement de sein lors de l’allaitement ?,Expliquez à la mère de laisser l’enfant terminer le premier sein et d’interrompre la tétée spontanément avant de le mettre à l’autre sein.
Conseils,Est-ce important de changer de sein à chaque tétée ?,"Oui, encouragez la mère à commencer l’allaitement par un sein différent à chaque fois. Par exemple, si elle commence avec le sein gauche, elle devrait commencer avec le sein droit lors de la tétée suivante."
Conseils,Que faire si j’ai des difficultés avec l’allaitement ?,"Demandez l'avis d'un médecin qui vas: Conseillez à la mère de chercher de l’aide si l’enfant ne s’alimente pas bien ou si elle éprouve des difficultés ou des douleurs aux mamelons ou aux seins. Orientez-la, si nécessaire, vers un conseiller formé à l’alimentation du nourrisson."
Conseils,Quand commencer le suivi prénatal ?,Le suivi prénatal doit commencer dès que vous découvrez votre grossesse.
Conseils,Combien de consultations prénatales sont recommandées ?,Il est recommandé d’avoir au moins 4 consultations prénatales.
Conseils,Pourquoi l’acide folique est important pendant la grossesse ?,L’acide folique aide à prévenir les malformations du tube neural chez le bébé.
Conseils,Comment prévenir l’anémie pendant la grossesse ?,Mangez des aliments riches en fer et prenez les suppléments prescrits par le médecin.
Conseils,Quand consulter un médecin pendant la grossesse ?,"Consultez immédiatement si vous avez des saignements, douleurs abdominales ou fièvre."
Conseils,Comment gérer les nausées pendant la grossesse ?,"Mangez des petits repas fréquents, hydratez-vous et évitez les aliments gras ou épicés."
Conseils,Comment nourrir un nouveau-né ?,Le nouveau-né doit être nourri exclusivement au sein pendant les 6 premiers mois si possible.
Conseils,Quels sont les soins postnataux importants pour la mère ?,"Surveillez l’hygiène, la cicatrisation, et consultez un médecin en cas de saignement excessif."
Conseils,Comment prévenir les infections chez le nourrisson ?,"Lavez-vous les mains, évitez la foule et respectez le calendrier vaccinal."
Conseils,Quels sont les signes de malnutrition chez un enfant ?,"Perte de poids, retard de croissance, fatigue, et infections fréquentes."
Conseils,Comment stimuler le développement du bébé ?,"Parlez, chantez et jouez avec votre bébé pour stimuler ses sens et son développement."
Conseils,Quels sont les bienfaits de l’allaitement maternel ?,L’allaitement fournit tous les nutriments nécessaires et protège contre certaines maladies.
Conseils,Quand faire la première consultation postnatale ?,La première consultation postnatale doit se faire dans la semaine qui suit l’accouchement.
Conseils,Quels sont les signes de déshydratation chez le bébé ?,"Bouche sèche, pleurs sans larmes, moins de couches mouillées et somnolence."
